user_id,city,trip_ct,is_winter,is_night,one_way,duration
541,OMA,2,0.0,0.0,1.0,59.0
545,OMA,2,0.0,0.0,0.5,38.5
546,OMA,1,0.0,0.0,1.0,25.0
547,OMA,3,0.0,0.0,0.3333333333333333,37.0
552,OMA,1,0.0,0.0,1.0,83.0
553,OMA,3,0.0,0.0,1.0,91.33333333333333
556,OMA,1,0.0,0.0,1.0,79.0
557,OMA,1,0.0,0.0,1.0,17.0
558,OMA,1,0.0,0.0,1.0,47.0
559,OMA,18,0.0,0.0,0.1111111111111111,48.72222222222222
561,OMA,5,0.0,0.0,0.2,44.0
562,OMA,1,0.0,0.0,1.0,6.0
568,OMA,1,0.0,0.0,1.0,48.0
570,OMA,1,0.0,0.0,1.0,4.0
571,OMA,2,0.0,0.0,1.0,48.5
572,OMA,2,0.0,0.0,0.5,49.0
573,OMA,2,0.0,0.0,1.0,68.0
578,OMA,1,0.0,0.0,0.0,74.0
580,OMA,1,0.0,0.0,1.0,28.0
583,OMA,2,0.0,0.0,1.0,36.5
587,OMA,3,0.0,0.0,1.0,53.666666666666664
590,OMA,3,0.0,0.0,1.0,56.666666666666664
593,OMA,2,0.0,0.0,1.0,53.0
595,OMA,2,0.0,0.0,1.0,55.0
597,OMA,3,0.0,0.0,0.3333333333333333,38.0
598,OMA,1,0.0,0.0,1.0,32.0
599,OMA,2,0.0,0.0,1.0,11.0
601,OMA,5,0.0,1.0,1.0,48.8
604,OMA,1,0.0,0.0,0.0,47.0
609,OMA,1,0.0,0.0,1.0,55.0
610,OMA,3,0.0,0.0,1.0,46.0
614,OMA,1,0.0,0.0,1.0,31.0
615,OMA,2,0.0,0.0,1.0,95.5
617,OMA,1,0.0,0.0,1.0,31.0
621,OMA,1,0.0,0.0,1.0,39.0
622,OMA,2,0.0,0.0,1.0,57.5
624,OMA,1,0.0,0.0,1.0,17.0
625,OMA,2,0.0,0.0,1.0,41.0
627,OMA,5,0.0,0.0,1.0,35.6
630,OMA,2,0.0,0.0,1.0,16.5
634,OMA,2,0.0,0.0,1.0,40.0
637,OMA,2,0.0,0.0,1.0,73.0
638,OMA,3,0.0,0.0,0.3333333333333333,56.333333333333336
639,OMA,1,0.0,0.0,1.0,25.0
641,OMA,1,0.0,0.0,1.0,41.0
642,OMA,1,0.0,0.0,1.0,22.0
643,OMA,2,1.0,0.0,1.0,49.5
644,OMA,5,0.4,0.0,1.0,43.0
646,OMA,2,0.0,0.0,0.0,36.0
647,OMA,1,1.0,0.0,1.0,40.0
648,OMA,1,1.0,0.0,1.0,40.0
649,OMA,4,0.25,0.0,1.0,48.0
650,OMA,8,1.0,0.0,0.625,60.75
651,OMA,2,1.0,0.0,1.0,39.5
653,OMA,10,1.0,0.0,0.5,23.3
655,OMA,2,1.0,0.0,1.0,50.5
657,OMA,3,1.0,0.0,1.0,44.666666666666664
660,OMA,4,1.0,0.0,0.25,16.5
661,OMA,1,0.0,0.0,1.0,45.0
